RMT Statistic,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Shifted Noise Ratio,LEARNING,rest_v_task,0.0739905498281787,0.08325279209621993,-0.40025546517044297,,,-2.499603122922872,0.015286405280058122,,,7139.0,0.010685174709466571,0.3873155381944444
Noise Ratio,REFLECT_INTERLEAVED,rest_v_task,0.0034317089910775576,0.0025880988860822397,0.5256548202605252,,,2.4952152470109343,0.016442303479567943,,,2662.0,0.0006925526076636755,0.6925078043704475
β,REFLECT_INTERLEAVED,rest_v_task,0.9640687943090284,0.8865561124152171,0.28245868608713515,,,2.1140601874006384,0.03688923803859012,,,2101.5,0.1782029037665882,0.5466961498439126
Largest Eigenvalue,PSYCH_VIGILANCE_SES-1,high_v_low,117351.75748328274,102518.35724035508,0.3838756213520164,,,1.80191630172224,0.0751229608494107,,,1106.0,0.22273309169393407,0.5760416666666667
β,REFLECT_SUMMED,rest_v_task,0.9669603150068043,0.9005297633716155,0.24156045150135466,,,1.594955544678722,0.11490922476325315,,,2033.0,0.36196107981467374,0.5288761706555671
Noise Ratio,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.009711860046308208,0.011519881085098476,-0.34643928623047704,,,-1.5383641925345644,0.12882007771020193,,,787.0,0.19584483886258552,0.4204059829059829
Noise Ratio,OSTEO,duloxetine_v_nopain,0.012810039121896757,0.010869565217391302,0.4796489260204261,,,1.5059577240915192,0.14081169673260385,,,247.0,0.10250112487927228,0.65
Largest Eigenvalue,PARKINSONS,control_v_parkinsons,24794.12505716765,23492.953126646054,0.2066518552101796,,,1.461249281638986,0.14554175456685495,,,5596.0,0.14565871896767005,0.5596
Noise Ratio,OSTEO,allpain_v_nopain,0.012468575743639243,0.010869565217391302,0.37152385738536814,,,1.393907158488495,0.17290139850689756,,,678.5,0.1531926713496413,0.6058035714285714
Shifted Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.022909698996655518,0.02699474438604873,-0.34668248868437546,,,-1.366748949700466,0.1790145665925854,,,680.5,0.15132068168129725,0.4050595238095238
Noise Ratio,LEARNING,rest_v_task,0.035975085910652925,0.03884772336769759,-0.1973634276961699,,,-1.3167728619138859,0.19291422130215075,,,8229.0,0.2228699210011983,0.4464518229166667
Largest Eigenvalue,OSTEO,nopain_v_pain,17350.597886260606,16145.216040363039,0.3593984750986119,,,1.3113639559079031,0.1971212216758961,,,455.0,0.15767934087994107,0.6148648648648649
Largest Eigenvalue,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,107687.2219925094,116870.90461647182,-0.2347671356095592,,,-1.2561845571720056,0.21253513652416872,,,677.0,0.14545474812260428,0.4029761904761905
Shifted Noise Ratio,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.02302546951376383,0.02591973244147157,-0.2441939604894436,,,-1.1589654740453672,0.24982863316588755,,,747.0,0.1070692732456246,0.3990384615384616
Noise Ratio,OSTEO,nopain_v_pain,0.010869565217391302,0.01229322968453403,-0.3127968537605016,,,-1.1378774257984383,0.26191633859810226,,,308.5,0.2951176980854128,0.4168918918918919
Shifted Noise Ratio,PARKINSONS,control_pre_v_park_pre,0.03612612612612613,0.0345881595881596,0.12765212120303293,,,1.066779875265395,0.28701388246972714,,,10062.5,0.3453356602184365,0.5324074074074074
β,OSTEO,allpain_v_nopain,0.9858363932910524,0.9999899849128616,-0.15500314198742635,,,-1.0000000000000049,0.321689917720526,,,550.0,0.5702158799689105,0.4910714285714286
β,OSTEO,allpain_v_duloxetine,0.9858363932910524,0.9999899849128616,-0.15395226111135535,,,-1.0000000000000049,0.321689917720526,,,522.5,0.5810679793366852,0.4910714285714286
β,OSTEO,nopain_v_pain,0.9999899849128616,0.9785683327285016,0.20320258682234454,,,1.0000000000000144,0.3239850262651204,,,380.0,0.4848933839896808,0.5135135135135135
β,OSTEO,duloxetine_v_pain,0.9999899849128616,0.9785683327285016,0.2013468165642102,,,1.0000000000000144,0.3239850262651204,,,361.0,0.4972120881203264,0.5135135135135135
Largest Eigenvalue,OSTEO,duloxetine_v_pain,17260.445521364938,16145.216040363039,0.3010879494532341,,,0.9930082278423864,0.3286015756121322,,,405.0,0.3590518368769672,0.5761024182076814
Largest Eigenvalue,OSTEO,allpain_v_nopain,16523.597471417255,17350.597886260606,-0.2297584839849079,,,-0.937664545306478,0.35436978280005904,,,475.0,0.31887839225673664,0.4241071428571429
Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.010758082497212931,0.009794553272814142,0.1826153799793608,,,0.9313583464194992,0.3545619942811339,,,859.0,0.8649317365039845,0.5113095238095238
Largest Eigenvalue,PSYCH_TASK_ATTENTION_SES-1,high_v_low,113943.04018851713,105793.9044169134,0.20816439428073666,,,0.9043299177651885,0.369497379073406,,,1018.0,0.4891432234760249,0.5438034188034188
Noise Ratio,REFLECT_SUMMED,rest_v_task,0.010011123470522802,0.010929131896873834,-0.203492165966044,,,-0.8527374714946632,0.3990396953648541,,,1661.0,0.2332787730738701,0.43210197710717996
Noise Ratio,PARKINSONS,control_v_parkinsons,0.013648648648648651,0.014256756756756759,-0.09896564289329103,,,-0.6997927719433236,0.4848901160076291,,,4776.5,0.5631695303599126,0.47765
Largest Eigenvalue,OSTEO,allpain_v_duloxetine,16523.597471417255,17260.445521364938,-0.1914878790298208,,,-0.674249133256184,0.5056988136861671,,,478.5,0.5184574883092592,0.449718045112782
Largest Eigenvalue,LEARNING,rest_v_task,13422.878841593985,12896.760614098057,0.09797676908265124,,,0.5562251419118671,0.5802930394727495,,,9450.0,0.7746352408568998,0.5126953125
Largest Eigenvalue,OSTEO,allpain_v_pain,16523.597471417255,16145.216040363039,0.10539604261557124,,,0.5064371810802747,0.6139128161131504,,,1089.5,0.6773579161550873,0.5258204633204633
Noise Ratio,PSYCH_VIGILANCE_SES-2,high_v_low,0.010717543326238978,0.010185466707205838,0.10060197512789197,,,0.4718650896092292,0.6382201079951079,,,1037.0,0.5573977266687002,0.5356404958677686
Noise Ratio,OSTEO,duloxetine_v_pain,0.012810039121896757,0.01229322968453403,0.12070720389662602,,,0.4643330213280224,0.6446275404828842,,,379.5,0.6240878161093368,0.5398293029871978
Noise Ratio,PSYCH_VIGILANCE_SES-1,high_v_low,0.010660535117056858,0.010200668896321069,0.086919691764309,,,0.40519740643841795,0.6863813064981081,,,1033.5,0.5300995708529284,0.53828125
Shifted Noise Ratio,OSTEO,nopain_v_pain,0.017725752508361205,0.01825906173732261,-0.10823036695781296,,,-0.3795300874268807,0.7065143127326085,,,332.0,0.5194700609407747,0.4486486486486487
Largest Eigenvalue,PSYCH_TASK_ATTENTION_SES-2,high_v_low,109395.46953753344,113210.37416284886,-0.09703241312325032,,,-0.3549859900140901,0.7246592160649309,,,748.0,0.41237946802066094,0.4452380952380952
Noise Ratio,OSTEO,allpain_v_duloxetine,0.012468575743639243,0.012810039121896757,-0.08348189222153164,,,-0.34329776775834603,0.7333279333482068,,,504.0,0.728920752859745,0.4736842105263158
Shifted Noise Ratio,OSTEO,allpain_v_nopain,0.01811169547361589,0.017725752508361205,0.07447649740300871,,,0.2847270733682384,0.7776183481770441,,,604.5,0.5955948212723471,0.5397321428571429
β,OSTEO,allpain_v_pain,0.9858363932910524,0.9785683327285016,0.06256022470835049,,,0.28307805522437923,0.7780022918042183,,,1045.5,0.7785964641324244,0.5045849420849421
Shifted Noise Ratio,OSTEO,duloxetine_v_pain,0.01782471906534491,0.01825906173732261,-0.08330269262948338,,,-0.273968893856612,0.7859880851890981,,,338.5,0.8252719001773619,0.4815078236130868
Largest Eigenvalue,PSYCH_VIGILANCE_SES-2,high_v_low,111639.28962627587,109579.31602853717,0.05235927878004192,,,0.24558678636289705,0.8065896131892691,,,886.0,0.4964136031672276,0.4576446280991736
Shifted Noise Ratio,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.024414715719063545,0.023769708552317248,0.05404091063023028,,,0.23783161980972836,0.8129156142590142,,,890.0,0.6550854749481139,0.5297619047619048
Largest Eigenvalue,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,111459.20463647155,109589.42065652851,0.047522095062505036,,,0.21764709349695985,0.8282994917975786,,,962.0,0.9899708323953128,0.5010416666666667
Noise Ratio,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.010535117056856188,0.01027233635929288,0.04963443019370081,,,0.19236210350363736,0.848423417212622,,,952.5,0.3031073170134917,0.5669642857142857
Noise Ratio,OSTEO,allpain_v_pain,0.012468575743639243,0.01229322968453403,0.0399272226498855,,,0.18540613708836806,0.8534255510713713,,,1064.0,0.8244559583750553,0.5135135135135135
Shifted Noise Ratio,OSTEO,allpain_v_duloxetine,0.01811169547361589,0.01782471906534491,0.05325490841442808,,,0.18616776331783927,0.8536738951301648,,,545.0,0.8768175842328717,0.5122180451127819
Shifted Noise Ratio,OSTEO,allpain_v_pain,0.01811169547361589,0.01825906173732261,-0.029382471560367582,,,-0.14102071263153235,0.8882016763815856,,,1023.0,0.9200271390846472,0.4937258687258687
Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.010381828316610926,0.010535117056856188,-0.028948580620458183,,,-0.13647685590342135,0.8917655182626876,,,935.0,0.8331072251502742,0.4869791666666667
Shifted Noise Ratio,PARKINSONS,control_v_parkinsons,0.025067567567567558,0.025202702702702702,-0.01413678179593273,,,-0.09996214272058576,0.9204756672352724,,,4978.0,0.9570596558750882,0.4978
Shifted Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.024108138238573024,0.02433110367892977,-0.01867558240422573,,,-0.08634633140835096,0.9314091870776976,,,968.5,0.946157753127322,0.5044270833333333
Largest Eigenvalue,OSTEO,duloxetine_v_nopain,17260.445521364938,17350.597886260606,-0.023893950361932727,,,-0.0740803719350513,0.9413832808599234,,,190.0,0.9887910583324784,0.5
Shifted Noise Ratio,OSTEO,duloxetine_v_nopain,0.01782471906534491,0.017725752508361205,0.017628290380719034,,,0.05482325078946724,0.9565851273058892,,,196.5,0.8630108743536857,0.5171052631578947
Noise Ratio,PARKINSONS,control_pre_v_park_pre,0.02963963963963964,0.0296010296010296,0.0038964900753757454,,,0.032139880346857636,0.9743849506185924,,,9584.0,0.8361436343772933,0.507089947089947
Shifted Noise Ratio,PSYCH_VIGILANCE_SES-2,high_v_low,0.024171480693219824,0.024247491638795984,-0.006366427166345875,,,-0.029861190314796705,0.9762470240214319,,,943.5,0.8401053536841923,0.4873450413223141
β,PSYCH_VIGILANCE_SES-2,high_v_low,0.9999899849128614,0.9999899849128614,0.0,,,0.0,1.0,,,,,
β,PARKINSONS,control_v_parkinsons,0.9999899849128616,0.9999899849128616,0.0,,,0.0,1.0,,,,,
β,LEARNING,rest_v_task,0.9999899849128616,0.9999899849128616,0.0,,,,,,,,,
β,OSTEO,duloxetine_v_nopain,0.9999899849128616,0.9999899849128616,0.0,,,,,,,,,
β,PSYCH_VIGILANCE_SES-1,high_v_low,0.9999899849128616,0.9999899849128616,0.0,,,,,,,,,
β,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.9999899849128616,0.9999899849128616,0.0,,,,,,,,,
